id,time_id,site_id,project_id,account_id,variance,budgeted_cost,actual_cost,created_at,created_by,date,day,day_name,month,year,site_name,region,latitude,longitude,project_name,project_manager,status,start_date,end_date,account_name,account_type,budget_category,cost
1,14,18,10,9,Under,163552,59215,2022-12-18,user_27,20220115,15,Saturday,1,2022,Site 18,North,-79,158,Project 10,Manager 5,Active,2022-05-07,2023-10-15,Account 9,OPEX,Hardware,70615
130,19,3,9,9,On Budget,170957,157449,2023-07-16,user_92,20220120,20,Thursday,1,2022,Site 3,North,83,99,Project 9,Manager 8,Completed,2022-08-23,2023-03-15,Account 9,OPEX,Hardware,70615
731,46,5,9,9,Under,157608,69498,2022-08-27,user_33,20220216,16,Wednesday,2,2022,Site 5,North,-83,-133,Project 9,Manager 8,Completed,2022-08-23,2023-03-15,Account 9,OPEX,Hardware,70615
432,11,19,38,9,Over,10714,20900,2022-07-22,user_83,20220112,12,Wednesday,1,2022,Site 19,South,-16,-140,Project 38,Manager 5,On Hold,2022-09-06,2023-04-20,Account 9,OPEX,Hardware,70615
169,87,13,19,9,On Budget,177114,161994,2022-06-03,user_43,20220329,29,Tuesday,3,2022,Site 13,North,1,-4,Project 19,Manager 5,Completed,2022-03-22,2023-08-21,Account 9,OPEX,Hardware,70615
134,55,11,43,9,Under,45013,184046,2023-05-01,user_9,20220225,25,Friday,2,2022,Site 11,South,-35,-8,Project 43,Manager 1,On Hold,2022-02-20,2023-02-01,Account 9,OPEX,Hardware,70615
57,59,9,20,9,Over,36629,193080,2022-07-17,user_41,20220301,1,Tuesday,3,2022,Site 9,East,-89,-99,Project 20,Manager 1,On Hold,2022-05-15,2023-09-14,Account 9,OPEX,Hardware,70615
11,25,13,22,9,Over,78170,96050,2023-10-19,user_66,20220126,26,Wednesday,1,2022,Site 13,North,1,-4,Project 22,Manager 9,On Hold,2022-04-12,2023-03-20,Account 9,OPEX,Hardware,70615
569,49,2,28,9,On Budget,74268,38096,2022-06-14,user_75,20220219,19,Saturday,2,2022,Site 2,South,-33,-109,Project 28,Manager 9,Active,2022-03-07,2023-09-01,Account 9,OPEX,Hardware,70615
864,91,13,31,9,Over,144052,117962,2022-01-13,user_37,20220402,2,Saturday,4,2022,Site 13,North,1,-4,Project 31,Manager 4,On Hold,2022-06-09,2023-07-24,Account 9,OPEX,Hardware,70615
